total_size,draw,method,f1_score,accuracy,auc
12,0,LOGIS,0.7333333333333333,0.7333333333333333,0.7
12,0,SVM,0.36666666666666664,0.4333333333333333,0.6
12,0,KNN,0.39999999999999997,0.4333333333333333,0.5
12,0,RF,0.5333333333333333,0.5333333333333333,0.6
12,0,XGB,0.7,0.7333333333333333,0.8
12,1,LOGIS,0.7333333333333333,0.7333333333333333,0.8
12,1,SVM,0.31666666666666665,0.36666666666666664,0.4
12,1,KNN,0.4666666666666667,0.5333333333333333,0.45
12,1,RF,0.5333333333333333,0.5333333333333333,0.6
12,1,XGB,0.5,0.5333333333333333,0.6
12,2,LOGIS,0.4666666666666666,0.4666666666666666,0.6
12,2,SVM,0.36666666666666664,0.4333333333333333,0.4
12,2,KNN,0.39999999999999997,0.4666666666666666,0.55
12,2,RF,0.26666666666666666,0.26666666666666666,0.4
12,2,XGB,0.5,0.5333333333333333,0.6
12,3,LOGIS,0.45,0.4666666666666666,0.5
12,3,SVM,0.36666666666666664,0.4333333333333333,0.5
12,3,KNN,0.5166666666666667,0.5666666666666667,0.6
12,3,RF,0.45,0.4666666666666666,0.5
12,3,XGB,0.3,0.3333333333333333,0.4
12,4,LOGIS,0.6,0.6,0.6
12,4,SVM,0.2333333333333333,0.3333333333333333,0.2
12,4,KNN,0.5333333333333333,0.5666666666666667,0.75
12,4,RF,0.4666666666666666,0.4666666666666666,0.6
12,4,XGB,0.3,0.3333333333333333,0.4
12,5,LOGIS,0.7833333333333333,0.8,0.8
12,5,SVM,0.7,0.7333333333333333,0.3
12,5,KNN,0.5466666666666666,0.6666666666666666,0.65
12,5,RF,0.8666666666666666,0.8666666666666666,0.9
12,5,XGB,0.5,0.5333333333333333,0.6
12,6,LOGIS,0.45,0.4666666666666666,0.5
12,6,SVM,0.45,0.4666666666666666,0.6
12,6,KNN,0.7166666666666666,0.7666666666666666,0.7
12,6,RF,0.5333333333333333,0.5333333333333333,0.6
12,6,XGB,0.36666666666666664,0.4333333333333333,0.6
12,7,LOGIS,0.7333333333333333,0.7333333333333333,0.8
12,7,SVM,0.5,0.5333333333333333,0.4
12,7,KNN,0.6,0.6333333333333333,0.65
12,7,RF,0.6666666666666666,0.6666666666666666,0.8
12,7,XGB,0.3,0.3333333333333333,0.4
12,8,LOGIS,0.6666666666666666,0.6666666666666666,0.8
12,8,SVM,0.5,0.5333333333333333,0.3
12,8,KNN,0.31666666666666665,0.4,0.7
12,8,RF,0.7333333333333333,0.7333333333333333,0.7
12,8,XGB,0.3,0.3333333333333333,0.4
12,9,LOGIS,0.7333333333333333,0.7333333333333333,0.7
12,9,SVM,0.36666666666666664,0.4333333333333333,0.1
12,9,KNN,0.5166666666666666,0.5666666666666667,0.65
12,9,RF,0.4666666666666666,0.5333333333333333,0.7
12,9,XGB,0.3,0.3333333333333333,0.4
12,10,LOGIS,0.3,0.3333333333333333,0.3
12,10,SVM,0.3,0.3333333333333333,0.7
12,10,KNN,0.16666666666666666,0.2333333333333333,0.2
12,10,RF,0.4,0.4333333333333333,0.3
12,10,XGB,0.3,0.3333333333333333,0.4
12,11,LOGIS,0.9333333333333332,0.9333333333333332,0.9
12,11,SVM,0.65,0.7,0.1
12,11,KNN,0.5333333333333333,0.6333333333333333,0.5
12,11,RF,0.6,0.6333333333333333,0.7
12,11,XGB,0.3,0.3333333333333333,0.4
12,12,LOGIS,0.3,0.3333333333333333,0.4
12,12,SVM,0.4333333333333333,0.5333333333333333,0.7
12,12,KNN,0.25,0.26666666666666666,0.3
12,12,RF,0.5833333333333333,0.6,0.6
12,12,XGB,0.3,0.3333333333333333,0.4
12,13,LOGIS,0.3,0.3333333333333333,0.3
12,13,SVM,0.3833333333333333,0.4,0.7
12,13,KNN,0.31666666666666665,0.4,0.4
12,13,RF,0.3833333333333333,0.4,0.3
12,13,XGB,0.1,0.13333333333333333,0.2
12,14,LOGIS,0.6,0.6,0.6
12,14,SVM,0.45,0.4666666666666666,0.4
12,14,KNN,0.6,0.6333333333333333,0.65
12,14,RF,0.6,0.6,0.6
12,14,XGB,0.3,0.3333333333333333,0.4
12,15,LOGIS,0.9333333333333332,0.9333333333333332,0.9
12,15,SVM,0.7,0.7333333333333333,0.1
12,15,KNN,0.5666666666666667,0.6333333333333333,0.9
12,15,RF,0.8666666666666666,0.8666666666666666,1.0
12,15,XGB,0.7,0.7333333333333333,0.8
12,16,LOGIS,0.5833333333333333,0.6,0.7
12,16,SVM,0.65,0.7,0.3
12,16,KNN,0.7333333333333333,0.7666666666666666,0.8
12,16,RF,0.6666666666666666,0.6666666666666666,0.7
12,16,XGB,0.3,0.3333333333333333,0.4
12,17,LOGIS,0.3333333333333333,0.3333333333333333,0.3
12,17,SVM,0.1,0.13333333333333333,0.5
12,17,KNN,0.39999999999999997,0.4333333333333333,0.45
12,17,RF,0.3333333333333333,0.36666666666666664,0.3
12,17,XGB,0.5,0.5333333333333333,0.6
12,18,LOGIS,0.65,0.6666666666666666,0.7
12,18,SVM,0.5,0.5333333333333333,0.2
12,18,KNN,0.48,0.5666666666666667,0.65
12,18,RF,0.6,0.6333333333333333,0.75
12,18,XGB,0.3,0.3333333333333333,0.4
12,19,LOGIS,0.3,0.3333333333333333,0.3
12,19,SVM,0.3,0.3333333333333333,0.5
12,19,KNN,0.36666666666666664,0.4333333333333333,0.4
12,19,RF,0.3,0.3333333333333333,0.3
12,19,XGB,0.3,0.3333333333333333,0.4
12,20,LOGIS,0.3333333333333333,0.3333333333333333,0.3
12,20,SVM,0.1833333333333333,0.26666666666666666,0.6
12,20,KNN,0.2,0.3,0.4
12,20,RF,0.5333333333333333,0.5333333333333333,0.5
12,20,XGB,0.5,0.5333333333333333,0.6
12,21,LOGIS,0.9333333333333332,0.9333333333333332,0.9
12,21,SVM,0.7333333333333333,0.7666666666666666,0.5
12,21,KNN,0.7833333333333333,0.8,0.85
12,21,RF,0.8666666666666666,0.8666666666666666,0.9
12,21,XGB,0.7,0.7333333333333333,0.8
12,22,LOGIS,0.7333333333333333,0.7333333333333333,0.8
12,22,SVM,0.7333333333333333,0.7666666666666666,0.4
12,22,KNN,0.48,0.5666666666666667,0.7
12,22,RF,0.7333333333333333,0.7333333333333333,0.7
12,22,XGB,0.1,0.13333333333333333,0.2
12,23,LOGIS,0.7833333333333333,0.8,0.8
12,23,SVM,0.65,0.7,0.2
12,23,KNN,0.7333333333333333,0.7666666666666666,0.9
12,23,RF,0.8666666666666666,0.8666666666666666,0.8
12,23,XGB,0.3,0.3333333333333333,0.4
12,24,LOGIS,0.5833333333333333,0.6,0.6
12,24,SVM,0.16666666666666666,0.2333333333333333,0.5
12,24,KNN,0.31666666666666665,0.4,0.4
12,24,RF,0.25,0.3,0.1
12,24,XGB,0.3,0.3333333333333333,0.4
12,25,LOGIS,0.3833333333333333,0.4,0.3
12,25,SVM,0.5166666666666667,0.6,0.4
12,25,KNN,0.3833333333333333,0.4,0.4
12,25,RF,0.4666666666666666,0.4666666666666666,0.4
12,25,XGB,0.3,0.3333333333333333,0.4
12,26,LOGIS,0.5,0.5333333333333333,0.4
12,26,SVM,0.16666666666666666,0.2333333333333333,1.0
12,26,KNN,0.11666666666666665,0.16666666666666666,0.1
12,26,RF,0.45,0.5,0.6
12,26,XGB,0.3,0.3333333333333333,0.4
12,27,LOGIS,0.25,0.26666666666666666,0.2
12,27,SVM,0.11666666666666665,0.16666666666666666,0.8
12,27,KNN,0.36666666666666664,0.4333333333333333,0.45
12,27,RF,0.2,0.2,0.2
12,27,XGB,0.1,0.13333333333333333,0.2
12,28,LOGIS,0.5333333333333333,0.5333333333333333,0.6
12,28,SVM,0.36666666666666664,0.4333333333333333,0.4
12,28,KNN,0.39999999999999997,0.4666666666666666,0.45
12,28,RF,0.4666666666666666,0.4666666666666666,0.5
12,28,XGB,0.3,0.3333333333333333,0.4
12,29,LOGIS,1.0,1.0,1.0
12,29,SVM,0.8666666666666668,0.9,0.8
12,29,KNN,0.7333333333333334,0.8,1.0
12,29,RF,1.0,1.0,1.0
12,29,XGB,0.3,0.3333333333333333,0.4
14,0,LOGIS,0.18333333333333332,0.2,0.1
14,0,SVM,0.3566666666666667,0.5666666666666667,0.9
14,0,KNN,0.26,0.39999999999999997,0.2
14,0,RF,0.22999999999999998,0.3333333333333333,0.2
14,0,XGB,0.32999999999999996,0.4333333333333333,0.55
14,1,LOGIS,0.4833333333333333,0.5333333333333333,0.3
14,1,SVM,0.32666666666666666,0.5,0.8
14,1,KNN,0.18333333333333332,0.2,0.25
14,1,RF,0.26666666666666666,0.36666666666666664,0.3
14,1,XGB,0.15,0.2,0.05
14,2,LOGIS,0.9333333333333332,0.9333333333333332,1.0
14,2,SVM,0.7166666666666667,0.7666666666666667,0.4
14,2,KNN,0.7999999999999999,0.7999999999999999,1.0
14,2,RF,0.9333333333333332,0.9333333333333332,1.0
14,2,XGB,0.6666666666666666,0.6666666666666666,0.75
14,3,LOGIS,0.3833333333333333,0.4,0.5
14,3,SVM,0.3566666666666667,0.5666666666666667,0.5
14,3,KNN,0.29000000000000004,0.4666666666666667,0.5
14,3,RF,0.29000000000000004,0.4666666666666667,0.45
14,3,XGB,0.5,0.5333333333333333,0.5
14,4,LOGIS,0.5166666666666666,0.5333333333333333,0.7
14,4,SVM,0.3566666666666667,0.5666666666666667,0.3
14,4,KNN,0.4666666666666667,0.5,0.55
14,4,RF,0.5433333333333333,0.6666666666666666,0.6
14,4,XGB,0.7833333333333333,0.7999999999999999,0.75
14,5,LOGIS,0.45,0.4666666666666666,0.6
14,5,SVM,0.26,0.39999999999999997,0.3
14,5,KNN,0.2833333333333333,0.3333333333333333,0.5
14,5,RF,0.2833333333333333,0.3333333333333333,0.5
14,5,XGB,0.2833333333333333,0.3333333333333333,0.3
14,6,LOGIS,0.2333333333333333,0.26666666666666666,0.2
14,6,SVM,0.27666666666666667,0.4333333333333333,0.8
14,6,KNN,0.29666666666666663,0.4333333333333333,0.35
14,6,RF,0.35,0.4333333333333333,0.2
14,6,XGB,0.4666666666666667,0.5,0.4
14,7,LOGIS,0.5666666666666667,0.6,0.6
14,7,SVM,0.32666666666666666,0.5,0.1
14,7,KNN,0.29666666666666663,0.4333333333333333,0.7
14,7,RF,0.65,0.6666666666666666,0.6
14,7,XGB,0.36666666666666664,0.39999999999999997,0.55
14,8,LOGIS,0.5,0.5333333333333333,0.5
14,8,SVM,0.32666666666666666,0.5,0.5
14,8,KNN,0.4766666666666667,0.6333333333333333,0.45
14,8,RF,0.35,0.39999999999999997,0.6
14,8,XGB,0.53,0.6333333333333333,0.7
14,9,LOGIS,0.4333333333333333,0.4666666666666666,0.5
14,9,SVM,0.32666666666666666,0.5,0.5
14,9,KNN,0.3833333333333333,0.4,0.4
14,9,RF,0.35,0.4333333333333333,0.5
14,9,XGB,0.4333333333333333,0.4666666666666666,0.4
14,10,LOGIS,0.8666666666666666,0.8666666666666666,0.9
14,10,SVM,0.3566666666666667,0.5666666666666667,0.2
14,10,KNN,0.32666666666666666,0.5,0.6
14,10,RF,0.5966666666666667,0.6666666666666666,0.9
14,10,XGB,0.9333333333333332,0.9333333333333332,1.0
14,11,LOGIS,0.5666666666666667,0.6,0.6
14,11,SVM,0.32666666666666666,0.5,0.7
14,11,KNN,0.6633333333333333,0.7333333333333333,0.7
14,11,RF,0.41000000000000003,0.5666666666666667,0.6
14,11,XGB,0.2,0.26666666666666666,0.25
14,12,LOGIS,0.7333333333333333,0.7333333333333333,0.9
14,12,SVM,0.4633333333333334,0.5666666666666667,0.1
14,12,KNN,0.7333333333333333,0.7333333333333333,0.75
14,12,RF,0.6799999999999999,0.7333333333333333,0.8
14,12,XGB,0.45,0.4666666666666666,0.45
14,13,LOGIS,0.7166666666666666,0.7333333333333333,0.8
14,13,SVM,0.5,0.5666666666666667,0.2
14,13,KNN,0.7166666666666666,0.7333333333333333,0.8
14,13,RF,0.7166666666666666,0.7333333333333333,0.7
14,13,XGB,0.35,0.4333333333333333,0.35
14,14,LOGIS,0.6666666666666666,0.6666666666666666,0.7
14,14,SVM,0.3566666666666667,0.5666666666666667,0.5
14,14,KNN,0.5599999999999999,0.7,0.5
14,14,RF,0.6333333333333333,0.6666666666666666,0.7
14,14,XGB,0.65,0.7,0.85
14,15,LOGIS,0.36666666666666664,0.39999999999999997,0.2
14,15,SVM,0.32666666666666666,0.5,0.5
14,15,KNN,0.18,0.26666666666666666,0.2
14,15,RF,0.2333333333333333,0.26666666666666666,0.3
14,15,XGB,0.4666666666666666,0.4666666666666666,0.5
14,16,LOGIS,0.8666666666666666,0.8666666666666666,1.0
14,16,SVM,0.85,0.8666666666666668,0.8
14,16,KNN,0.8133333333333332,0.8666666666666666,1.0
14,16,RF,0.9333333333333332,0.9333333333333332,1.0
14,16,XGB,0.6666666666666666,0.6666666666666666,0.75
14,17,LOGIS,0.5999999999999999,0.5999999999999999,0.7
14,17,SVM,0.4766666666666667,0.6333333333333333,0.5
14,17,KNN,0.5466666666666666,0.5999999999999999,0.6
14,17,RF,0.6133333333333333,0.6666666666666666,0.65
14,17,XGB,0.45,0.4666666666666666,0.65
14,18,LOGIS,0.7166666666666666,0.7333333333333333,0.8
14,18,SVM,0.3566666666666667,0.5666666666666667,0.3
14,18,KNN,0.4833333333333333,0.5333333333333333,0.45
14,18,RF,0.7166666666666666,0.7333333333333333,0.7
14,18,XGB,0.5166666666666666,0.5333333333333333,0.5
14,19,LOGIS,0.1,0.13333333333333333,0.0
14,19,SVM,0.3566666666666667,0.5666666666666667,1.0
14,19,KNN,0.21666666666666665,0.3,0.25
14,19,RF,0.35,0.4,0.2
14,19,XGB,0.4,0.4,0.4
14,20,LOGIS,0.6333333333333333,0.6666666666666666,0.7
14,20,SVM,0.3566666666666667,0.5666666666666667,0.2
14,20,KNN,0.29666666666666663,0.4333333333333333,0.55
14,20,RF,0.31333333333333335,0.4,0.3
14,20,XGB,0.15,0.2,0.2
14,21,LOGIS,0.7166666666666667,0.7666666666666666,0.9
14,21,SVM,0.3566666666666667,0.5666666666666667,0.5
14,21,KNN,0.5,0.5666666666666667,0.6
14,21,RF,0.44666666666666666,0.5666666666666667,0.3
14,21,XGB,0.5833333333333333,0.6333333333333333,0.75
14,22,LOGIS,0.65,0.6666666666666667,0.6
14,22,SVM,0.29666666666666663,0.4333333333333333,0.4
14,22,KNN,0.5666666666666667,0.6,0.8
14,22,RF,0.4333333333333333,0.4666666666666666,0.5
14,22,XGB,0.4333333333333333,0.4666666666666666,0.45
14,23,LOGIS,0.2833333333333333,0.3333333333333333,0.4
14,23,SVM,0.3566666666666667,0.5666666666666667,0.6
14,23,KNN,0.53,0.6333333333333333,0.55
14,23,RF,0.31333333333333335,0.4,0.4
14,23,XGB,0.7833333333333333,0.8,0.85
14,24,LOGIS,0.0,0.0,0.0
14,24,SVM,0.32666666666666666,0.5,1.0
14,24,KNN,0.15,0.2,0.0
14,24,RF,0.24666666666666667,0.36666666666666664,0.0
14,24,XGB,0.18333333333333332,0.2,0.1
14,25,LOGIS,0.8666666666666666,0.8666666666666666,0.8
14,25,SVM,0.5666666666666667,0.6333333333333334,0.4
14,25,KNN,0.7,0.7333333333333334,0.8
14,25,RF,0.7999999999999999,0.7999999999999999,0.9
14,25,XGB,0.5,0.5333333333333333,0.5
14,26,LOGIS,0.5666666666666667,0.6,0.6
14,26,SVM,0.29666666666666663,0.4333333333333333,0.4
14,26,KNN,0.5966666666666667,0.6666666666666666,0.75
14,26,RF,0.6333333333333333,0.6666666666666666,0.6
14,26,XGB,0.21666666666666665,0.3,0.05
14,27,LOGIS,0.18333333333333332,0.2,0.1
14,27,SVM,0.3566666666666667,0.5666666666666667,0.9
14,27,KNN,0.3566666666666667,0.5666666666666667,0.15
14,27,RF,0.32999999999999996,0.4333333333333333,0.4
14,27,XGB,0.35,0.4,0.55
14,28,LOGIS,0.7166666666666666,0.7333333333333333,0.9
14,28,SVM,0.3566666666666667,0.5666666666666667,0.2
14,28,KNN,0.5166666666666667,0.5666666666666667,0.65
14,28,RF,0.55,0.6,0.8
14,28,XGB,0.7166666666666666,0.7333333333333333,0.8
14,29,LOGIS,0.7333333333333333,0.7333333333333333,0.7
14,29,SVM,0.4766666666666667,0.6333333333333333,0.1
14,29,KNN,0.6,0.6,0.7
14,29,RF,0.7833333333333333,0.8,0.7
14,29,XGB,0.6333333333333333,0.6666666666666666,0.7
16,0,LOGIS,0.7833333333333333,0.8,0.8
16,0,SVM,0.44666666666666666,0.5666666666666667,0.4
16,0,KNN,0.5333333333333333,0.5666666666666667,0.625
16,0,RF,0.7999999999999999,0.7999999999999999,0.85
16,0,XGB,0.7666666666666666,0.7666666666666666,0.8
16,1,LOGIS,0.35,0.39999999999999997,0.5
16,1,SVM,0.32666666666666666,0.5,0.6
16,1,KNN,0.42333333333333334,0.45,0.425
16,1,RF,0.46333333333333326,0.5333333333333333,0.4
16,1,XGB,0.54,0.5833333333333334,0.55
16,2,LOGIS,0.5999999999999999,0.5999999999999999,0.7
16,2,SVM,0.35666666666666663,0.5666666666666667,0.3
16,2,KNN,0.7466666666666666,0.7499999999999999,0.65
16,2,RF,0.8133333333333332,0.8166666666666667,0.75
16,2,XGB,0.5733333333333333,0.5833333333333333,0.85
16,3,LOGIS,0.8333333333333333,0.8333333333333333,0.85
16,3,SVM,0.6766666666666666,0.75,0.45
16,3,KNN,0.5499999999999999,0.5666666666666667,0.9
16,3,RF,0.9,0.9,0.95
16,3,XGB,0.9,0.9,0.9
16,4,LOGIS,0.33999999999999997,0.3833333333333333,0.2
16,4,SVM,0.35666666666666663,0.5666666666666667,0.65
16,4,KNN,0.39,0.45,0.45
16,4,RF,0.37333333333333335,0.3833333333333333,0.3
16,4,XGB,0.5333333333333333,0.5666666666666667,0.65
16,5,LOGIS,0.13333333333333333,0.13333333333333333,0.2
16,5,SVM,0.32666666666666666,0.5,0.8
16,5,KNN,0.25,0.3833333333333333,0.325
16,5,RF,0.3,0.3333333333333333,0.2
16,5,XGB,0.22999999999999998,0.29999999999999993,0.25
16,6,LOGIS,0.6633333333333333,0.6833333333333332,0.7
