total_size,draw,method,accuracy
20,0,LOGIS,0.7
20,0,SVM,0.7
20,0,KNN,0.6
20,0,RF,0.65
20,0,XGB,0.6
20,1,LOGIS,0.85
20,1,SVM,0.7
20,1,KNN,0.5
20,1,RF,0.75
20,1,XGB,0.8
20,2,LOGIS,0.65
20,2,SVM,0.65
20,2,KNN,0.8
20,2,RF,0.55
20,2,XGB,0.6
20,3,LOGIS,0.9
20,3,SVM,0.9
20,3,KNN,0.65
20,3,RF,0.9
20,3,XGB,0.8
20,4,LOGIS,0.9
20,4,SVM,0.75
20,4,KNN,0.55
20,4,RF,0.75
20,4,XGB,0.75
20,5,LOGIS,0.5
20,5,SVM,0.45
20,5,KNN,0.65
20,5,RF,0.45
20,5,XGB,0.45
20,6,LOGIS,0.55
20,6,SVM,0.5
20,6,KNN,0.4
20,6,RF,0.5
20,6,XGB,0.55
20,7,LOGIS,0.75
20,7,SVM,0.55
20,7,KNN,0.4
20,7,RF,0.55
20,7,XGB,0.7
20,8,LOGIS,0.85
20,8,SVM,0.9
20,8,KNN,0.7
20,8,RF,0.8
20,8,XGB,0.75
20,9,LOGIS,0.75
20,9,SVM,0.6
20,9,KNN,0.4
20,9,RF,0.65
20,9,XGB,0.65
20,10,LOGIS,0.85
20,10,SVM,0.85
20,10,KNN,0.65
20,10,RF,0.75
20,10,XGB,0.85
20,11,LOGIS,0.7
20,11,SVM,0.65
20,11,KNN,0.5
20,11,RF,0.7
20,11,XGB,0.7
20,12,LOGIS,1.0
20,12,SVM,0.8
20,12,KNN,0.75
20,12,RF,0.9
20,12,XGB,0.9
20,13,LOGIS,0.85
20,13,SVM,0.9
20,13,KNN,0.75
20,13,RF,0.8
20,13,XGB,0.85
20,14,LOGIS,0.75
20,14,SVM,0.7
20,14,KNN,0.5
20,14,RF,0.55
20,14,XGB,0.65
20,15,LOGIS,0.9
20,15,SVM,0.8
20,15,KNN,0.5
20,15,RF,0.85
20,15,XGB,0.8
20,16,LOGIS,0.65
20,16,SVM,0.45
20,16,KNN,0.5
20,16,RF,0.6
20,16,XGB,0.5
20,17,LOGIS,0.8
20,17,SVM,0.6
20,17,KNN,0.55
20,17,RF,0.7
20,17,XGB,0.7
20,18,LOGIS,0.8
20,18,SVM,0.65
20,18,KNN,0.5
20,18,RF,0.7
20,18,XGB,0.65
