total_size,draw,method,f1_score
14,0,LOGIS,0.8666666666666666
14,0,SVM,0.7466666666666666
14,0,KNN,0.3666666666666666
14,0,RF,0.4633333333333332
14,0,XGB,0.2833333333333333
14,1,LOGIS,0.7333333333333333
14,1,SVM,0.8
14,1,KNN,0.3566666666666667
14,1,RF,0.8666666666666666
14,1,XGB,0.5999999999999999
14,2,LOGIS,0.7999999999999999
14,2,SVM,0.7333333333333333
14,2,KNN,0.7
14,2,RF,0.65
14,2,XGB,0.7166666666666666
14,3,LOGIS,0.7999999999999999
14,3,SVM,0.7166666666666666
14,3,KNN,0.8666666666666666
14,3,RF,0.7166666666666666
14,3,XGB,0.6
14,4,LOGIS,0.7833333333333333
14,4,SVM,0.7833333333333333
14,4,KNN,0.6333333333333333
14,4,RF,0.4466666666666666
14,4,XGB,0.3299999999999999
14,5,LOGIS,0.5833333333333333
14,5,SVM,0.5166666666666666
14,5,KNN,0.7833333333333333
14,5,RF,0.6666666666666666
14,5,XGB,0.4833333333333333
14,6,LOGIS,0.6666666666666666
14,6,SVM,0.8
14,6,KNN,0.6799999999999999
14,6,RF,0.9333333333333332
14,6,XGB,0.8666666666666666
14,7,LOGIS,0.7166666666666667
14,7,SVM,0.65
14,7,KNN,0.6666666666666666
14,7,RF,0.4633333333333332
14,7,XGB,0.5166666666666666
14,8,LOGIS,0.7333333333333333
14,8,SVM,0.7833333333333333
14,8,KNN,0.6799999999999999
14,8,RF,0.6
14,8,XGB,0.5166666666666666
14,9,LOGIS,0.6666666666666666
14,9,SVM,0.65
14,9,KNN,0.3566666666666667
14,9,RF,0.6
14,9,XGB,0.6333333333333333
14,10,LOGIS,0.7166666666666666
14,10,SVM,0.6333333333333333
14,10,KNN,0.2966666666666666
14,10,RF,0.5666666666666667
14,10,XGB,0.5666666666666667
14,11,LOGIS,0.6666666666666666
14,11,SVM,0.5999999999999999
14,11,KNN,0.53
14,11,RF,0.5166666666666666
14,11,XGB,0.5
14,12,LOGIS,0.3
14,12,SVM,0.4333333333333333
14,12,KNN,0.43
14,12,RF,0.6333333333333333
14,12,XGB,0.5166666666666666
14,13,LOGIS,0.65
14,13,SVM,0.5666666666666667
14,13,KNN,0.3266666666666666
14,13,RF,0.2966666666666666
14,13,XGB,0.65
14,14,LOGIS,0.7166666666666666
14,14,SVM,0.7833333333333333
14,14,KNN,0.2299999999999999
14,14,RF,0.45
14,14,XGB,0.3333333333333333
14,15,LOGIS,0.7333333333333333
14,15,SVM,0.6666666666666666
14,15,KNN,0.5166666666666667
14,15,RF,0.65
14,15,XGB,0.5833333333333333
14,16,LOGIS,0.9333333333333332
14,16,SVM,0.8800000000000001
14,16,KNN,0.4466666666666666
14,16,RF,0.7833333333333333
14,16,XGB,0.5666666666666667
14,17,LOGIS,0.9333333333333332
14,17,SVM,0.9333333333333332
14,17,KNN,0.85
14,17,RF,0.9333333333333332
14,17,XGB,1.0
14,18,LOGIS,0.6666666666666666
14,18,SVM,0.6666666666666666
14,18,KNN,0.5666666666666667
14,18,RF,0.7166666666666666
14,18,XGB,0.5133333333333333
14,19,LOGIS,0.5166666666666666
14,19,SVM,0.6666666666666666
14,19,KNN,0.4466666666666666
14,19,RF,0.3666666666666666
14,19,XGB,0.45
14,20,LOGIS,0.7166666666666666
14,20,SVM,0.5966666666666667
14,20,KNN,0.5666666666666667
14,20,RF,0.6666666666666666
14,20,XGB,0.45
14,21,LOGIS,0.7833333333333333
14,21,SVM,0.7833333333333333
14,21,KNN,0.5833333333333333
14,21,RF,0.7166666666666666
14,21,XGB,0.6666666666666666
14,22,LOGIS,0.5333333333333333
14,22,SVM,0.7333333333333333
14,22,KNN,0.5466666666666666
14,22,RF,0.7999999999999999
14,22,XGB,0.7999999999999999
14,23,LOGIS,0.5666666666666667
14,23,SVM,0.4333333333333333
14,23,KNN,0.3266666666666666
14,23,RF,0.4333333333333333
14,23,XGB,0.4833333333333333
14,24,LOGIS,0.5333333333333333
14,24,SVM,0.5466666666666666
14,24,KNN,0.53
14,24,RF,0.45
14,24,XGB,0.3666666666666666
14,25,LOGIS,0.7166666666666666
14,25,SVM,0.6666666666666666
14,25,KNN,0.7
14,25,RF,0.85
14,25,XGB,1.0
14,26,LOGIS,0.65
14,26,SVM,0.6333333333333333
14,26,KNN,0.5966666666666667
14,26,RF,0.7166666666666666
14,26,XGB,0.9333333333333332
14,27,LOGIS,0.85
14,27,SVM,0.7
14,27,KNN,0.55
14,27,RF,0.55
14,27,XGB,0.55
14,28,LOGIS,0.9333333333333332
14,28,SVM,0.8666666666666666
14,28,KNN,0.8666666666666666
14,28,RF,0.7999999999999999
14,28,XGB,0.7999999999999999
14,29,LOGIS,0.7999999999999999
14,29,SVM,0.6133333333333333
14,29,KNN,0.5666666666666667
14,29,RF,0.7999999999999999
14,29,XGB,0.6633333333333333
21,0,LOGIS,0.6866666666666668
21,0,SVM,0.6933333333333334
21,0,KNN,0.5033333333333333
21,0,RF,0.5533333333333333
21,0,XGB,0.5438095238095239
21,1,LOGIS,0.7166666666666666
21,1,SVM,0.6566666666666666
21,1,KNN,0.6857142857142857
21,1,RF,0.6466666666666667
21,1,XGB,0.699047619047619
21,2,LOGIS,0.6799999999999999
21,2,SVM,0.6266666666666667
21,2,KNN,0.5133333333333334
21,2,RF,0.54
21,2,XGB,0.5333333333333333
21,3,LOGIS,0.8066666666666666
21,3,SVM,0.7466666666666667
21,3,KNN,0.86
21,3,RF,0.8
21,3,XGB,0.8066666666666666
21,4,LOGIS,0.7266666666666667
21,4,SVM,0.8038095238095238
21,4,KNN,0.5766666666666667
21,4,RF,0.6166666666666666
21,4,XGB,0.6633333333333333
21,5,LOGIS,0.8466666666666667
21,5,SVM,0.7933333333333333
21,5,KNN,0.6323809523809525
21,5,RF,0.5633333333333332
21,5,XGB,0.53
21,6,LOGIS,0.6
21,6,SVM,0.6933333333333334
21,6,KNN,0.6933333333333334
21,6,RF,0.6933333333333334
21,6,XGB,0.6933333333333334
21,7,LOGIS,0.9
21,7,SVM,0.9
21,7,KNN,0.55
21,7,RF,0.6933333333333334
21,7,XGB,0.6533333333333333
21,8,LOGIS,0.6523809523809524
21,8,SVM,0.699047619047619
21,8,KNN,0.7466666666666667
21,8,RF,0.7466666666666667
21,8,XGB,0.6066666666666667
21,9,LOGIS,0.9466666666666668
21,9,SVM,1.0
21,9,KNN,0.7
21,9,RF,0.799047619047619
21,9,XGB,0.7166666666666666
21,10,LOGIS,0.9466666666666668
21,10,SVM,0.8933333333333333
21,10,KNN,0.66
21,10,RF,0.7933333333333333
21,10,XGB,0.6599999999999999
21,11,LOGIS,0.7566666666666666
21,11,SVM,0.7566666666666666
21,11,KNN,0.7566666666666666
21,11,RF,0.72
21,11,XGB,0.8099999999999999
21,12,LOGIS,0.8166666666666667
21,12,SVM,0.8633333333333333
21,12,KNN,0.4371428571428571
21,12,RF,0.6566666666666666
21,12,XGB,0.8533333333333333
21,13,LOGIS,0.9466666666666668
21,13,SVM,0.9066666666666666
21,13,KNN,0.6857142857142857
21,13,RF,0.73
21,13,XGB,0.8533333333333333
21,14,LOGIS,0.8800000000000001
21,14,SVM,0.8800000000000001
21,14,KNN,0.5433333333333333
21,14,RF,0.6799999999999999
21,14,XGB,0.6266666666666667
21,15,LOGIS,0.8
21,15,SVM,0.8
21,15,KNN,0.63
21,15,RF,0.6666666666666667
21,15,XGB,0.74
21,16,LOGIS,0.65
21,16,SVM,0.7566666666666666
21,16,KNN,0.559047619047619
21,16,RF,0.6933333333333334
21,16,XGB,0.7466666666666667
21,17,LOGIS,1.0
21,17,SVM,0.9466666666666668
21,17,KNN,0.8633333333333333
21,17,RF,0.6657142857142857
21,17,XGB,0.6923809523809524
21,18,LOGIS,1.0
21,18,SVM,1.0
21,18,KNN,0.7866666666666667
21,18,RF,0.8933333333333333
21,18,XGB,0.7457142857142858
21,19,LOGIS,0.7457142857142858
21,19,SVM,0.799047619047619
21,19,KNN,0.7390476190476191
21,19,RF,0.7390476190476191
21,19,XGB,0.5923809523809525
21,20,LOGIS,0.7633333333333333
21,20,SVM,0.71
21,20,KNN,0.6233333333333333
21,20,RF,0.8066666666666666
21,20,XGB,0.7633333333333333
21,21,LOGIS,0.96
21,21,SVM,0.96
21,21,KNN,0.7033333333333334
21,21,RF,0.8533333333333333
21,21,XGB,0.8533333333333333
21,22,LOGIS,0.6466666666666667
21,22,SVM,0.6466666666666667
21,22,KNN,0.64
21,22,RF,0.6666666666666667
21,22,XGB,0.5533333333333333
21,23,LOGIS,0.8066666666666666
21,23,SVM,0.8066666666666666
21,23,KNN,0.6083333333333334
21,23,RF,0.71
21,23,XGB,0.7566666666666666
21,24,LOGIS,0.5733333333333334
21,24,SVM,0.6566666666666666
21,24,KNN,0.62
21,24,RF,0.5133333333333333
21,24,XGB,0.2733333333333333
21,25,LOGIS,0.8533333333333333
21,25,SVM,0.8533333333333333
21,25,KNN,0.7633333333333333
21,25,RF,0.8
21,25,XGB,0.5266666666666666
21,26,LOGIS,0.8457142857142858
21,26,SVM,0.8457142857142858
21,26,KNN,0.71
21,26,RF,0.7066666666666667
21,26,XGB,0.55
21,27,LOGIS,0.9466666666666668
21,27,SVM,0.9466666666666668
21,27,KNN,0.6933333333333334
21,27,RF,0.7866666666666667
21,27,XGB,0.5266666666666666
21,28,LOGIS,0.7466666666666667
21,28,SVM,0.8
21,28,KNN,0.61
21,28,RF,0.7933333333333333
21,28,XGB,0.4866666666666667
21,29,LOGIS,0.9466666666666668
21,29,SVM,0.9466666666666668
21,29,KNN,0.8400000000000001
21,29,RF,0.8933333333333333
21,29,XGB,0.8466666666666667
28,0,LOGIS,0.8766666666666666
28,0,SVM,0.8857142857142856
28,0,KNN,0.8857142857142856
28,0,RF,0.836190476190476
28,0,XGB,0.7647619047619048
28,1,LOGIS,0.8423809523809522
