total_size,draw,method,f1_score,accuracy,auc
12,0,LOGIS,0.7833333333333333,0.8,0.8
12,0,SVM,0.5833333333333333,0.6,0.5
12,0,KNN,0.45,0.5,0.55
12,0,RF,0.45,0.4666666666666666,0.5
12,0,XGB,0.5,0.5333333333333333,0.6
12,1,LOGIS,0.5,0.5333333333333333,0.6
12,1,SVM,0.6666666666666666,0.6666666666666666,0.4
12,1,KNN,0.31666666666666665,0.4,0.45
12,1,RF,0.5833333333333333,0.6,0.6
12,1,XGB,0.5,0.5333333333333333,0.6
12,2,LOGIS,0.3833333333333333,0.4,0.5
12,2,SVM,0.2333333333333333,0.3333333333333333,0.4
12,2,KNN,0.31666666666666665,0.4,0.55
12,2,RF,0.18333333333333332,0.2,0.1
12,2,XGB,0.36666666666666664,0.4333333333333333,0.4
12,3,LOGIS,0.3333333333333333,0.3333333333333333,0.4
12,3,SVM,0.3833333333333333,0.4,0.2
12,3,KNN,0.3833333333333333,0.4,0.45
12,3,RF,0.5333333333333333,0.5333333333333333,0.6
12,3,XGB,0.3,0.3333333333333333,0.4
12,4,LOGIS,0.1,0.13333333333333333,0.2
12,4,SVM,0.16666666666666666,0.2333333333333333,0.3
12,4,KNN,0.26666666666666666,0.26666666666666666,0.3
12,4,RF,0.4666666666666666,0.4666666666666666,0.4
12,4,XGB,0.3,0.3333333333333333,0.4
12,5,LOGIS,0.4666666666666666,0.4666666666666666,0.4
12,5,SVM,0.29999999999999993,0.4333333333333333,0.2
12,5,KNN,0.3833333333333333,0.5,0.65
12,5,RF,0.4666666666666666,0.4666666666666666,0.6
12,5,XGB,0.3,0.3333333333333333,0.4
12,6,LOGIS,0.13333333333333333,0.13333333333333333,0.2
12,6,SVM,0.5333333333333333,0.5333333333333333,0.2
12,6,KNN,0.5166666666666667,0.5666666666666667,0.6
12,6,RF,0.25,0.26666666666666666,0.3
12,6,XGB,0.16666666666666666,0.2333333333333333,0.4
12,7,LOGIS,0.5833333333333333,0.6,0.6
12,7,SVM,0.7333333333333333,0.7666666666666666,0.1
12,7,KNN,0.4666666666666666,0.5333333333333333,0.55
12,7,RF,0.85,0.8666666666666666,0.9
12,7,XGB,0.7,0.7333333333333333,0.8
12,8,LOGIS,0.6,0.6,0.6
12,8,SVM,0.5333333333333333,0.5333333333333333,0.4
12,8,KNN,0.4666666666666667,0.5,0.6
12,8,RF,0.5333333333333333,0.5333333333333333,0.6
12,8,XGB,0.16666666666666666,0.2333333333333333,0.2
12,9,LOGIS,0.3333333333333333,0.3333333333333333,0.3
12,9,SVM,0.1,0.13333333333333333,0.3
12,9,KNN,0.31666666666666665,0.36666666666666664,0.4
12,9,RF,0.3333333333333333,0.3333333333333333,0.4
12,9,XGB,0.1,0.13333333333333333,0.2
12,10,LOGIS,0.8666666666666666,0.8666666666666666,0.9
12,10,SVM,0.6,0.6666666666666666,0.2
12,10,KNN,0.45,0.5,0.65
12,10,RF,0.6666666666666666,0.6666666666666666,0.7
12,10,XGB,0.7,0.7333333333333333,0.8
12,11,LOGIS,0.3833333333333333,0.4,0.5
12,11,SVM,0.16666666666666666,0.2333333333333333,0.5
12,11,KNN,0.25,0.26666666666666666,0.25
12,11,RF,0.4666666666666666,0.4666666666666666,0.5
12,11,XGB,0.3,0.3333333333333333,0.4
12,12,LOGIS,0.45,0.4666666666666666,0.4
12,12,SVM,0.5,0.5333333333333333,0.6
12,12,KNN,0.11666666666666665,0.16666666666666666,0.15
12,12,RF,0.45,0.4666666666666666,0.4
